 >> TARTAROS @ 17-Dec-2023 12:20:34 <<

   1: Black Soul Choir | 16 Horsepower
1306: Kings And Queens | Thirty Seconds To Mars
1307: Cenere | Marlene Kuntz
1308: Retrattile | Marlene Kuntz
1309: L'Agguato | Marlene Kuntz
1310: L'Esangue Deborah | Marlene Kuntz
1311: E Non Cessa Di Girare La Mia Testa In Mezzo Al Mare | Marlene Kuntz
1312: Il Vile | Marlene Kuntz
1313: Twenty Years | Placebo
1314: Algebra (prosa) | Giorgio Gaber
1315: Cerco un gesto naturale | Giorgio Gaber
1316: Far finta di essere sani | Giorgio Gaber
1317: Il narciso (prosacanzone) | Giorgio Gaber
1318: Oh mama! (prosa) | Giorgio Gaber
1319: Un'idea | Giorgio Gaber
1320: Quello che perde i pezzi | Giorgio Gaber
1321: La libertà | Giorgio Gaber
1322: Finale (prosa) | Giorgio Gaber
1323: Al bar Casablanca bis | Giorgio Gaber
1324: Postumia | The Zen Circus
1325: Vai vai vai! | The Zen Circus
1326: L'anarchico e il generale | The Zen Circus
1327: No Way | The Zen Circus
1328: Mi sono ritrovato vivo | The Zen Circus
1329: Sestri Levante | The Zen Circus
1330: There She Goes | The La's
1331: Sad White Reggae | Placebo
1332: This Is What You Wanted | Placebo
1333: Went Missing | Placebo
1334: Forever Chemicals | Placebo
1335: The Prodigal | Placebo
1336: Twin Demons | Placebo
1337: Bill McCai | The Coral
1338: Confessions of a.D.D.D. | The Coral
1339: Pass It On | The Coral
1340: Liezah | The Coral
1341: Talkin' Gypsy Market Blues | The Coral
1342: Buddy Holly | Weezer
1343: Pesto duro | Skiantos
1344: Io ti amo da matti | Skiantos
1345: Io sono uno skianto | Skiantos
1346: Vortice | Skiantos
1347: One Step Closer | Linkin Park
1348: In the End | Linkin Park
1349: Cure for the Itch | Linkin Park
1350: Forgotten | Linkin Park
1351: Enchantica | Jon Kennedy
1352: Sheela-Na-Gig | PJ Harvey
1353: Jynweythek | Aphex Twin
1354: Kladfvgbung Mischk | Aphex Twin
1355: Hy A Scullyas Lyf Adhagrow | Aphex Twin
1356: Kesson Dalek | Aphex Twin
1357: Meltphace 6 | Aphex Twin
1358: Prep Gwarek 36 | Aphex Twin
1359: Petiatil Cx Htdui | Aphex Twin
1360: Useless | Depeche Mode
1361: Hang on to Your IQ | Placebo
1362: Lady of the Flowers | Placebo
1363: Swallow | Placebo
1364: H. K. Farewell - Hidden Track | Placebo
1365: Teenage Angst | Placebo
1366: Calvin | The Jon Spencer Blues Explosion
1367: Get It On | Grinderman
1368: Fit For Work | DEADLETTER
1369: Good Old Days | DEADLETTER
1370: Hero | DEADLETTER
1371: Quello che perde tutto (prosa) | Giorgio Gaber
1372: La legge | Giorgio Gaber
1373: Secondo me la donna (prosa) | Giorgio Gaber
1374: Incontro (prosa) | Giorgio Gaber
1375: Il grido | Giorgio Gaber
1376: Il successo (prosa) | Giorgio Gaber
1377: L'azalea | Giorgio Gaber
1378: Il potere dei più buoni | Giorgio Gaber
1379: La stanza del nonno (prosa) | Giorgio Gaber
1380: Che bella gente (prosa) | Giorgio Gaber
1381: Il conformista | Giorgio Gaber
1382: Una nuova coscienza | Giorgio Gaber
1383: Friggin' In The Riggin' | Sex Pistols
1384: The Rhythm of the Night | Corona
1385: Lana - From 'Risky Business' Original Motion Picture Soundtrack | Tangerine Dream
1386: Tired and Awake | Hidden Orchestra
1387: Antiphon | Hidden Orchestra
1388: Footsteps | Hidden Orchestra
1389: Stammer | Hidden Orchestra
1390: Strange | Hidden Orchestra
1391: Bellbottoms | The Jon Spencer Blues Explosion
1392: Very Rare | The Jon Spencer Blues Explosion
1393: Dang | The Jon Spencer Blues Explosion
1394: Ditch | The Jon Spencer Blues Explosion
1395: Sweat | The Jon Spencer Blues Explosion
1396: Welcome to Tijuana | Manu Chao
1397: Desaparecido | Manu Chao
1398: Luna y sol | Manu Chao
1399: Por el suelo | Manu Chao
1400: Je ne t'aime plus | Manu Chao
1401: Bongo Bong | Manu Chao
1402: Dead Leaves and the Dirty Ground | The White Stripes
1403: Fell In Love With a Girl | The White Stripes
1404: Hotel Yorba | The White Stripes
1405: This Protector | The White Stripes
1406: Arrivano i buoni | Edoardo Bennato
1407: La bandiera | Edoardo Bennato
1408: Un giorno credi | Edoardo Bennato
1409: Salviamo Il Salvabile | Edoardo Bennato
1410: Ma che bella città | Edoardo Bennato
1411: Bravi Ragazzi | Edoardo Bennato
1412: Facciamo un compromesso | Edoardo Bennato
1413: La costruzione di un amore | Ivano Fossati
1414: The Heaviest of Storms (Devotion, Pt. 1) | Pale Honey
1415: Real Thing | Pale Honey
1416: Replace Me | Pale Honey
1417: Honeymooning | Holy Motors
1418: To Forgive - Remastered 2012 | The Smashing Pumpkins
1419: Love - Remastered 2012 | The Smashing Pumpkins
1420: Cupid De Locke - Remastered 2012 | The Smashing Pumpkins
1421: Thirty-Three - Remastered 2012 | The Smashing Pumpkins
1422: X.Y.U. - Remastered 2012 | The Smashing Pumpkins
1423: Mellon Collie And The Infinite Sadness - Remastered 2012 | The Smashing Pumpkins
1424: Here Is No Why - Remastered 2012 | The Smashing Pumpkins
1425: 1979 - Remastered 2012 | The Smashing Pumpkins
1426: Thru The Eyes Of Ruby - Remastered 2012 | The Smashing Pumpkins
1427: Beautiful - Remastered 2012 | The Smashing Pumpkins
1428: Take Me Down - Remastered 2012 | The Smashing Pumpkins
1429: Farewell And Goodnight - Remastered 2012 | The Smashing Pumpkins
1430: Hunger Strike | Temple Of The Dog
1431: I'm Sailin | Mazzy Star
1432: Blue Flower | Mazzy Star
1433: Halah | Mazzy Star
1434: She Hangs Brightly | Mazzy Star
1435: Taste Of Blood | Mazzy Star
1436: Before I Sleep | Mazzy Star
1437: Geordie - Live | Fabrizio De André
1438: Duemila | New Trolls
1439: Padre O'Brien | New Trolls
1440: Ho veduto | New Trolls
1441: We Love Your Apathy | Skunk Anansie
1442: Glorious Pop Song | Skunk Anansie
1443: Infidelity (Only You) | Skunk Anansie
1444: Pickin On Me | Skunk Anansie
1445: Hedonism (Just Because You Feel Good) | Skunk Anansie
1446: Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix | Jennifer Lopez, Jadakiss, Styles P
1447: Belief | John Mayer
1448: The Heart of Life | John Mayer
1449: Waiting On the World to Change | John Mayer
1450: I Don't Trust Myself (With Loving You) | John Mayer
1451: Dreaming with a Broken Heart | John Mayer
1452: Arrivederci | Umberto Bindi
1453: Il nostro concerto | Umberto Bindi
1454: Il mio mondo | Umberto Bindi
1455: Un Giorno, Un Mese, Un Anno | Umberto Bindi
1456: Primo intermezzo | Fabrizio De André
1457: Terzo intermezzo | Fabrizio De André
1458: Cantico dei drogati | Fabrizio De André
1459: Ballata degli impiccati | Fabrizio De André
1460: Leggenda di Natale | Fabrizio De André
1461: Recitativo - 2 Invocazioni 1 Atto Di Accusa | Fabrizio De André
1462: Under the Beat | Bambino Prodigio
1463: Steyning | Bambino Prodigio
1464: Aquarius | Boards of Canada
1465: Roygbiv | Boards of Canada
1466: Smokes Quantity | Boards of Canada
1467: Wildlife Analysis | Boards of Canada
1468: Dietro la porta | Cristiano De André
1469: Amarsi Male | Lo Stato Sociale
1470: Dissident - Remastered | Pearl Jam
1471: Animal - Remastered | Pearl Jam
1472: Daughter - Remastered | Pearl Jam
1473: Rearviewmirror - Remastered | Pearl Jam
1474: Elderly Woman Behind the Counter in a Small Town - Remastered | Pearl Jam
1475: Leash - Remastered | Pearl Jam
1476: Indifference - Remastered | Pearl Jam
1477: Una storia sbagliata | Fabrizio De André
1478: At The End Of The Day | Amon Tobin
1479: The Lemon Song - 1993 Remaster | Led Zeppelin
1480: Thank You - 1990 Remaster | Led Zeppelin
1481: Living Loving Maid (She's Just a Woman) - 1993 Remaster | Led Zeppelin
1482: Moby Dick | Led Zeppelin
1483: Heartbreaker - 1990 Remaster | Led Zeppelin
1484: Gold on the Ceiling | The Black Keys
1485: Money Maker | The Black Keys
1486: Run Right Back | The Black Keys
1487: Mind Eraser | The Black Keys
1488: Song That Made Us What We Are Today | Red Hot Chili Peppers
1489: Good Time Boys - Remastered | Red Hot Chili Peppers
1490: Knock Me Down - Remastered | Red Hot Chili Peppers
1491: Taste The Pain - Remastered | Red Hot Chili Peppers
1492: Fire - Remastered | Red Hot Chili Peppers
1493: Higher Ground - Remastered 2003 | Red Hot Chili Peppers
1494: Resisti | Litfiba
1495: El diablo | Litfiba
1496: Il volo | Litfiba
1497: Siamo umani | Litfiba
1498: Sure Shot | Beastie Boys
1499: Get It Together | Beastie Boys, Q-Tip
1500: Futterman's Rule | Beastie Boys
1501: Eugene's Lament | Beastie Boys
1502: Ricky's Theme | Beastie Boys
1503: Heavy Soul | The Black Keys
1504: Hier encore | Charles Aznavour
1505: One Hundred Years | The Cure
1506: A Short Term Effect | The Cure
1507: Siamese Twins | The Cure
1508: Cold | The Cure
1509: Pornography | The Cure
1510: The Hanging Garden | The Cure
1511: Starlight | Muse
1512: Invincible | Muse
1513: City of Delusion | Muse
1514: Il boom | Il Pan Del Diavolo
1515: Università | Il Pan Del Diavolo
1516: Africa | Il Pan Del Diavolo
1517: Scarpette a punta | Il Pan Del Diavolo
1518: Farà cadere lei | Il Pan Del Diavolo
1519: Up From the South | The Budos Band
1520: Fat Old Sun - 2011 Remaster | Pink Floyd
1521: Maggie's Farm | Bob Dylan
1522: Love Minus Zero | Bob Dylan
1523: It's Alright, Ma (I'm Only Bleeding) | Bob Dylan
1524: Lux Aeterna | Motorpsycho
1525: The Crucible | Motorpsycho
1526: Chameleon | Herbie Hancock
1527: Sly | Herbie Hancock
1528: Jackie | Sinéad O'Connor
1529: Mandinka | Sinéad O'Connor
1530: Mora Na Filosofia | Caetano Veloso
1531: Nine Out Of Ten | Caetano Veloso
1532: Summerland | half•alive
1533: Hi | Warpaint
1534: Giovani illuminati | Eugenio In Via Di Gioia
1535: Hong Kong | CCCP – Fedeli Alla Linea
1536: Sura | CCCP – Fedeli Alla Linea
1537: Oh! Battagliero | CCCP – Fedeli Alla Linea
1538: Coffee & TV | Blur
1539: Swamp Song | Blur
1540: Trailerpark | Blur
1541: Caramel | Blur
1542: So Real | Jeff Buckley
1543: Corpus Christi Carol | Jeff Buckley
1544: Lilac Wine | Jeff Buckley
1545: Berlin Lovers | Still Corners
1546: We Killed the Moonlight | Still Corners
1547: Strange Pleasures | Still Corners
1548: Driven To Tears | The Police
1549: When The World Is Running Down, You Make The Best Of What's Still Around | The Police
1550: Canary In A Coalmine | The Police
1551: Man In A Suitcase | The Police
1552: Help Me (She's Out Of Her Mind) | Stereophonics
1553: Nothing Precious At All | Stereophonics
1554: Rainbows And Pots Of Gold | Stereophonics
1555: The Boxer | The Chemical Brothers
1556: Hold Tight London | The Chemical Brothers
1557: Come Inside | The Chemical Brothers
1558: Marvo Ging | The Chemical Brothers
1559: Hateful - Remastered | The Clash
1560: The Right Profile - Remastered | The Clash
1561: Wrong 'Em Boyo - Remastered | The Clash
1562: The Card Cheat - Remastered | The Clash
1563: Love Or Something | Bob Geldof
1564: Thinking Voyager 2 Type Things | Bob Geldof
1565: Maiale | Lo Stato Sociale
1566: Cromosomi | Lo Stato Sociale
1567: Amore ai tempi dell'Ikea | Lo Stato Sociale
1568: Seggiovia sull'oceano | Lo Stato Sociale
1569: Vado al mare | Lo Stato Sociale
1570: Magalenha | Sérgio Mendes
1571: Six Encores: Wasserklavier | Luciano Berio, Andrea Lucchesini
1572: Gotta Dance | Jimmy Giuffre
1573: Piano Trio No. 7 in B-Flat Major, Op. 97, "Archduke": III. Andante cantabile ma pero con moto | Ludwig van Beethoven, Stuttgart Piano Trio
1574: Me and the Devil Blues | Robert Johnson
1575: Downtown | Petula Clark
1576: Flying High Again | Ozzy Osbourne
1577: J. Strauss: Radetzky Marsch | Johann Strauss I, Willi Boskovsky, Wiener Johann Strauss Orchester
1578: On the Beautiful Blue Danube, Op. 314 | Johann Strauss II, Carl Michalski, Vienna Volksoper Orchestra
1579: Anvil Chorus from Il Trovatore | Giuseppe Verdi, The Tabernacle Choir at Temple Square, Eugene Ormandy, Philadelphia Orchestra
1580: Tamala | Samba Touré
1581: Má Vlast (My Country), Cycle of 6 symphonic poems : Poem II. Vltava (The Moldau River) | Saint Petersburg Radio and TV Symphony Orchestra, Stanislav Gorkovenko
1582: Casta Diva | Maria Callas
1583: Symphony No. 9 in E Minor, Op. 95, B. 178 "From the New World": IV. Allegro con fuoco | Antonín Dvořák, Czech Philharmonic, Václav Neumann
1584: Perhaps, Perhaps, Perhaps | Doris Day
1585: Singin' In The Rain | Gene Kelly
1586: Vide cor meum | Patrick Cassidy, Katherine Jenkins, Rhys Meirion, The Czech Film Orchestra, David Rowland, James Banbury
1587: What Your Soul Sings | Massive Attack
1588: Butterfly Caught | Massive Attack
1589: The Switch | Planet Funk
1590: One Step Closer (feat. Jim Kerr) | Planet Funk, Jim Kerr
1591: Where Is the Max | Planet Funk
1592: Il Pensionato - Remastered 2007 | Francesco Guccini
1593: (Your Love Keeps Lifting Me) Higher & Higher | Jackie Wilson
1594: The City Is Crying | The Dave Brubeck Quartet
1595: Osaka Blues | The Dave Brubeck Quartet
1596: Koto Song | The Dave Brubeck Quartet
1597: We All Stand - 2015 Remaster | New Order
1598: The Village - 2015 Remaster | New Order
1599: 5 8 6 - 2015 Remaster | New Order
1600: Moonchild - Including "The Dream" and "The Illusion" | King Crimson
1601: The Court Of The Crimson King - Including "The Return of the Fire Witch" and "The Dance of the Puppets" | King Crimson
1602: Head Above Water | Laura Cox
1603: Swing It Out | Laura Cox
1604: One Big Mess | Laura Cox
1605: Fever | Laura Cox
1606: Before We Get Burned | Laura Cox
1607: Dream A Little Dream Of Me - Single Version | Ella Fitzgerald, Louis Armstrong
1608: This Land is Your Land | Woody Guthrie
1609: What A Wonderful World | Louis Armstrong
1610: La mer | Charles Trenet
1611: Don't Start Me To Talkin' | Sonny Boy Williamson II
1612: Blue Monday | Fats Domino
1613: Rocket 88 | Jackie Brenston & His Delta Cats
1614: Mother Earth | Memphis Slim
1615: Un altro bicchiere (feat. Roberto Dellera) | Daniele Silvestri, Roberto Dell'Era
1616: A dispetto dei pronostici | Daniele Silvestri
1617: L'orologio (feat. Diego Mancino) | Daniele Silvestri, Diego Mancino
1618: La guerra del sale (feat. Caparezza) | Daniele Silvestri, Caparezza
1619: Spengo la luce (feat. Roberto Dellera) | Daniele Silvestri, Roberto Dell'Era
1620: Trenta giorni di nave e vapore - Italia settentrionale | Pneumatica Emiliano Romagnola, Coro delle Mondine di Novi di Modena
1621: I mundaris - Emilia | Pneumatica Emiliano Romagnola, Coro delle Mondine di Novi di Modena
1622: La Tina - Emilia | Pneumatica Emiliano Romagnola, Coro delle Mondine di Novi di Modena
1623: Addio torrione - Emilia | Pneumatica Emiliano Romagnola, Coro delle Mondine di Novi di Modena
1624: Sciur padrun dali beli braghi bianchi - Emilia | Pneumatica Emiliano Romagnola, Coro delle Mondine di Novi di Modena
1625: Il tragico naufragio del bastimento Sirio - Italia settentrionale | Pneumatica Emiliano Romagnola, Coro delle Mondine di Novi di Modena
1626: Io parto per l'America - Emilia | Pneumatica Emiliano Romagnola, Coro delle Mondine di Novi di Modena
1627: Cheek To Cheek | Ella Fitzgerald, Louis Armstrong
1628: Me And My Chauffeur Blues | Memphis Minnie
1629: Blue Bayou | Roy Orbison
1630: Peace | Ornette Coleman
1631: Congeniality | Ornette Coleman
1632: Chronology | Ornette Coleman
1633: Elephant Talk | King Crimson
1634: Matte Kudasai | King Crimson
1635: The Sheltering Sky | King Crimson
1636: Gnossienne: No. 2 | Erik Satie, Alexandre Tharaud
1637: Tramp | I Hate My Village
1638: Fare un fuoco | I Hate My Village
1639: La Belle Excentrique: Grande Ritournelle | Erik Satie, Alexandre Tharaud
1640: Cinéma | Erik Satie, Alexandre Tharaud, Eric Le Sage
1641: Embarquement pour Cythère | Erik Satie, Alexandre Tharaud, Isabelle Faust
1642: Gnossiennes: n° 5 | Erik Satie, Alexandre Tharaud
1643: Poudre d'or | Erik Satie, Alexandre Tharaud
1644: 6 Pieces: Songe creux. Tres calme | Erik Satie, Klara Kormendi
1645: Rag-Time Parade | Erik Satie, Klara Kormendi
1646: New Europeans - 2008 Remaster | Ultravox
1647: Vienna - 2008 Remaster | Ultravox
1648: Lead Pencil Blues (1935) | Johnnie Temple
1649: Anna Lou Blues | Tampa Red
1650: Downtown Blues | Frank Stokes
1651: Filosofia Agricola | Niccolò Fabi
1652: Vince Chi Molla | Niccolò Fabi
1653: Le Chiavi Di Casa | Niccolò Fabi
1654: Song for Clay (Disappear Here) | Bloc Party
1655: Hunting for Witches | Bloc Party
1656: Flux | Bloc Party
1657: Sunday | Bloc Party
1658: Forever Young | Bob Dylan
1659: I Want Your Love | Toadies
1660: A Sight to Behold | Devendra Banhart
1661: Mary | Patty Griffin
1662: L'amore è tutto qui | Piero Ciampi
1663: Trav'lin' Light | Ben Webster, Joe Zawinul
1664: Hard Blues Shot | Laura Cox
1665: Goldberg Variations, BWV 988: Variation 3 a 1 Clav. Canone all'Unisono | Johann Sebastian Bach, Glenn Gould
1666: 3-5-7 | All Them Witches
1667: Cowboy Kirk | All Them Witches
1668: Internet | All Them Witches
1669: David | Noah Gundersen
1670: Soldier's Eyes | Jack Savoretti
1671: Scusami Tanto Ma Ho Solo Te | Lucio Dalla
1672: Il bevitore longevo | Duo bucolico, Giacomo Toni
1673: So Tender | Keith Jarrett, Gary Peacock, Jack DeJohnette
1674: Pictures Of You - Remastered | The Cure
1675: Homesick - Remastered | The Cure
1676: Disintegration - Remastered | The Cure
1677: Untitled - Remastered | The Cure
1678: Taro | alt-J
1679: Tessellate | alt-J
1680: Something Good | alt-J
1681: Fitzpleasure | alt-J
1682: Bloodflood | alt-J
1683: Fools Gold - Remastered | The Stone Roses
1684: Today - 2011 Remaster | The Smashing Pumpkins
1685: Geek U.S.A. - 2011 Remaster | The Smashing Pumpkins
1686: Spaceboy - 2011 Remaster | The Smashing Pumpkins
1687: How Many Times | DOPE LEMON
1688: Stonecutters | DOPE LEMON
1689: Best Girl | DOPE LEMON
1690: L'ultima donna | Paolo Conte
1691: Blue Haways | Paolo Conte
1692: Un'altra vita | Paolo Conte
1693: Pretend Pretend Pretend | Paolo Conte
1694: Madeleine | Paolo Conte
1695: Delicate | Damien Rice
1696: Volcano | Damien Rice
1697: Prima o poi ci passerà | Motta
1698: Sei bella davvero | Motta
1699: Roma stasera | Motta
1700: Prenditi quello che vuoi | Motta
1701: Mio padre era un comunista | Motta
1702: Se continuiamo a correre (feat. Alosi) | Motta, Alosi
1703: Thrill Me - 2008 Remaster | Simply Red
1704: Model - 2008 Remaster | Simply Red
1705: Du Casse A Lillers | Universal Production Music
1706: Parpalhoun | Universal Production Music
1707: Andro | Universal Production Music
1708: La Tarentella | Universal Production Music
1709: Fado Boemio E Vadio | Universal Production Music
1710: Encontro No Rossio | Universal Production Music
1711: Corfu | Universal Production Music
1712: Le Tsigane | Universal Production Music
1713: Au Vieux Sebasto | Universal Production Music
1714: Madamicella | Universal Production Music
1715: Pulcinella | Universal Production Music
1716: Corpo A Corpo | Subsonica
1717: L'Odore | Subsonica
1718: Amantide | Subsonica
1719: Le Serpi | Subsonica
1720: Crosstown Traffic | Jimi Hendrix
1721: Gypsy Eyes | Jimi Hendrix
1722: If God Will Send His Angels | U2
1723: Staring At The Sun | U2
1724: Gone | U2
1725: If You Wear That Velvet Dress | U2
1726: Un'estate Fà | Franco Califano
1727: Tutto il resto e' noia | Franco Califano
1728: Bambina Impertinente - Remastered 2020 | Carmen Consoli
1729: Stato Di Necessità - Remastered 2020 | Carmen Consoli
1730: Il Sultano (Della Kianca) - Remastered 2020 | Carmen Consoli
1731: Orfeo - Remastered 2020 | Carmen Consoli
1732: Non Volermi Male - Remastered 2020 | Carmen Consoli
1733: For Whom The Bell Tolls - Remastered | Metallica
1734: The Call Of Ktulu - Remastered | Metallica
1735: Hard Time Killing Floor Blues | Skip James
1736: Black Hole - #2 | Lele Marchitelli, Andrea Chimenti
1737: Make It Rain | Ed Sheeran
1738: Frances Farmer Will Have Her Revenge On Seattle | Nirvana
1739: Scentless Apprentice | Nirvana
1740: Crash This Train (Acoustic) | Joshua James
1741: Love Is Rare | Morcheeba
1742: World Looking In | Morcheeba
1743: Bye Bye Bombay | Afterhours
1744: Varanasi Baby | Afterhours
1745: Bungee Jumping | Afterhours
1746: Il Mio Ruolo | Afterhours
1747: Ritorno A Casa | Afterhours
1748: Higher Power | Coldplay
1749: Humankind | Coldplay
1750: People of The Pride | Coldplay
1751: Strangelove | Depeche Mode
1752: Behind the Wheel | Depeche Mode
1753: To Have and to Hold | Depeche Mode
1754: Calling Bombay | Chinese Man
1755: Day by day - Remix | Chinese Man, Femi Kuti
1756: He said | Chinese Man
1757: Come un Dio | Litfiba
1758: Re del silenzio | Litfiba
1759: Tango | Litfiba
1760: Ballata | Litfiba
1761: Ferito | Litfiba
1762: James and the Cold Gun | Kate Bush
1763: Kite | Kate Bush
1764: The Man with the Child in His Eyes | Kate Bush
1765: The Kick Inside | Kate Bush
1766: Oh to Be in Love | Kate Bush
1767: Disappear | INXS
1768: The Stairs | INXS
1769: Politik | Coldplay
1770: Daylight | Coldplay
1771: Green Eyes | Coldplay
1772: A Rush of Blood to the Head | Coldplay
1773: Brush Away | Alice In Chains
1774: Sludge Factory | Alice In Chains
1775: Heaven Beside You | Alice In Chains
1776: Over Now | Alice In Chains
1777: Cerco il tuo soffio | Bud Spencer Blues Explosion
1778: Rottami | Bud Spencer Blues Explosion
1779: Dio odia i tristi | Bud Spencer Blues Explosion
1780: Squarciagola | Bud Spencer Blues Explosion
1781: Hamburger | Bud Spencer Blues Explosion
1782: Giocattoli | Bud Spencer Blues Explosion
1783: Country Comfort | Elton John
1784: Ballad Of A Well-Known Gun | Elton John
1785: Son Of Your Father | Elton John
1786: Talking Old Soldiers | Elton John
1787: Into The Old Man's Shoes | Elton John
1788: Madman Across The Water | Elton John, Mick Ronson
1789: I Wanna Sleep With You | The Psychedelic Furs
1790: Mr. Jones | The Psychedelic Furs
1791: She Is Mine | The Psychedelic Furs
1792: River Man | Nick Drake
1793: Way To Blue | Nick Drake
1794: Three Hours | Nick Drake
1795: ' Cello Song | Nick Drake
1796: Saturday Sun | Nick Drake
1797: Beauty Lies in the Eye | Sonic Youth
1798: Cotton Crown | Sonic Youth
1799: Il Compleanno Di Andrea | Afterhours
1800: Halloween | The Dream Syndicate
1801: Tell Me When It's Over | The Dream Syndicate
1802: Until Lately | The Dream Syndicate
1803: I Heard Her Call My Name | The Velvet Underground
1804: Nel paese che sembra una scarpa | The Zen Circus
1805: L'amorale | The Zen Circus
1806: La democrazia semplicemente non funziona | The Zen Circus
1807: Nati per subire | The Zen Circus
1808: Franco | The Zen Circus
1809: Un Po' Esageri | Verdena
1810: Sci Desertico | Verdena
1811: Chez le docteur | Erik Satie, Alexandre Tharaud, Juliette
1812: Contro La Ragione | Verdena
1813: Army Of Me | Björk
1814: It's Oh So Quiet | Björk
1815: Possibly Maybe | Björk
1816: I Miss You | Björk
1817: Cover Me | Björk
1818: Spin the Black Circle - Remastered | Pearl Jam
1819: Not for You - Remastered | Pearl Jam
1820: Bugs - Remastered | Pearl Jam
1821: Better Man | Pearl Jam
1822: Marquee Moon | Television
1823: Guiding Light | Television
1824: Torn Curtain | Television
1825: Canzone Delle Osterie Di Fuori Porta - Remastered 2007 | Francesco Guccini
1826: Canzone Della Vita Quotidiana - 2007 Digital Remaster | Francesco Guccini
1827: Canzone Delle Ragazze Che Se Ne Vanno - 2007 Digital Remaster | Francesco Guccini
1828: Day of the Lords - 2019 Digital Master | Joy Division
1829: Insight - 2019 Digital Master | Joy Division
1830: New Dawn Fades - 2019 Digital Master | Joy Division
1831: Shadowplay - 2019 Remaster | Joy Division
1832: Interzone - 2019 Digital Master | Joy Division
1833: I Remember Nothing - 2019 Digital Master | Joy Division
1834: Taste the Floor | The Jesus and Mary Chain
1835: The Hardest Walk | The Jesus and Mary Chain
1836: Cut Dead | The Jesus and Mary Chain
1837: Inside Me | The Jesus and Mary Chain
1838: Sowing Seeds | The Jesus and Mary Chain
1839: My Little Underground | The Jesus and Mary Chain
1840: Sexy And I Know It | LMFAO
1841: Party Rock Anthem | LMFAO, Lauren Bennett, GoonRock
1842: Silence Kid | Pavement
1843: Stop Breathin | Pavement
1844: Unfair | Pavement
1845: 5-4=Unity | Pavement
1846: The Light | Metronomy
1847: Se Io Fossi San Gennaro | Federico Salvatore
1848: The Weight Of My Words - Four Tet Remix | Kings of Convenience, Four Tet
1849: Nice to Turin | Land Observations
1850: Levo | Recondite
1851: Il mio malditesta | Bluvertigo
1852: Fuori dal tempo | Bluvertigo
1853: Ebbrezza totale | Bluvertigo
1854: (Le arti dei) miscugli | Bluvertigo
1855: Ideaplatonica | Bluvertigo
1856: Troppe emozioni | Bluvertigo
1857: Monstrous | Metronomy
1858: Boy Racers | Metronomy
1859: The Upsetter | Metronomy
1860: Month Of Sundays | Metronomy
1861: Canos | Verdena
1862: Angie | Verdena
1863: Isacco Nucleare | Verdena
1864: Lose It | Paolo Nutini
1865: Shine A Light | Paolo Nutini
1866: Children Of The Stars | Paolo Nutini
1867: Miss World | Hole
1868: Asking For It | Hole
1869: Doll Parts | Hole
1870: I Think That I Would Die | Hole
1871: The Happiest Days Of Our Lives - 2011 Remastered Version | Pink Floyd
1872: Goodbye Blue Sky - 2011 Remastered Version | Pink Floyd
1873: Young Lust - 2011 Remastered Version | Pink Floyd
1874: Hey You - 2011 Remastered Version | Pink Floyd
1875: Nobody Home - 2011 Remastered Version | Pink Floyd
1876: Run Like Hell - 2011 Remastered Version | Pink Floyd
1877: Allarme | CCCP – Fedeli Alla Linea
1878: Mi Ami? (Remiscelata) | CCCP – Fedeli Alla Linea
1879: Tracy | Mogwai
1880: R U Still In 2 It | Mogwai
1881: Mogwai Fear Satan | Mogwai
1882: Il Signor Hood | Francesco De Gregori
1883: Le storie di ieri | Francesco De Gregori
1884: Quattro cani | Francesco De Gregori
1885: Every Planet We Reach Is Dead | Gorillaz
1886: DARE | Gorillaz
1887: Demon Days | Gorillaz
1888: November Has Come | Gorillaz
1889: El Mañana | Gorillaz
1890: Fillip | Muse
1891: Showbiz | Muse
1892: Unintended | Muse
1893: Sober | Muse
1894: Escape | Muse
1895: Spirits | The Strumbellas
1896: Armored Scarves | 13 & God
1897: Going Backwards to Recover That Which Was Left Behind | Christina Vantzou
1898: Non Ci Sono Anime | Antonello Venditti
1899: Post Houmous | Morcheeba
1900: Tape Loop | Morcheeba
1901: Howling | Morcheeba
1902: Col | Morcheeba
1903: 17 Tir nel cortile | Verdena
1904: Phantastica | Verdena
1905: Mina | Verdena
1906: Logorrea (esperti all'opera) | Verdena
1907: 40 secondi di niente | Verdena
1908: Un blasfemo - Dietro Ogni Blasfemo C'è Un Giardino Incantato | Fabrizio De André
1909: Un medico | Fabrizio De André
1910: Easily | Red Hot Chili Peppers
1911: Road Trippin' | Red Hot Chili Peppers
1912: Porcelain | Red Hot Chili Peppers
1913: Parallel Universe | Red Hot Chili Peppers
1914: This Velvet Glove | Red Hot Chili Peppers
1915: Savior | Red Hot Chili Peppers
1916: Ask for Answers | Placebo
1917: Burger Queen | Placebo
1918: The Crawl | Placebo
1919: Connection | Elastica
1920: Car Song | Elastica
1921: Hold Me Now | Elastica
1922: Stutter | Elastica
1923: Never Here | Elastica
1924: Big Exit | PJ Harvey
1925: The Whores Hustle And The Hustlers Whore | PJ Harvey
1926: This Mess We're In | PJ Harvey, Thom Yorke
1927: You Said Something | PJ Harvey
1928: Kamikaze | PJ Harvey
1929: Horses In My Dreams | PJ Harvey
1930: No Man's Land | Tangerine Dream
